pitch_chord_ratio,exit_flow_angle,K_P_1
0.80953,50,0.017662
0.80978,50,0.017657
0.81538,50,0.017529
0.81626,50,0.017509
0.82169,50,0.017379
0.83892,50,0.016967
0.8456,50,0.01682
0.8469,50,0.016793
0.85055,50,0.01672
0.85272,50,0.016679
0.86059,50,0.016543
0.87784,50,0.016343
0.88144,50,0.016327
0.88429,50,0.016324
0.8864,50,0.016329
0.89162,50,0.016382
0.89951,50,0.016671
0.91187,50,0.017202
0.91521,50,0.017233
0.91728,50,0.01724
0.92167,50,0.017237
0.93532,50,0.017176
0.95077,50,0.017181
0.95156,50,0.017188
0.95258,50,0.017197
0.95752,50,0.017261
0.97269,50,0.017603
0.98814,50,0.017993
0.98997,50,0.018028
0.99024,50,0.018033
1.01007,50,0.018293
1.02425,50,0.018501
1.02454,50,0.018507
1.0255,50,0.018527
1.0459,50,0.019115
1.05699,50,0.019483
1.05883,50,0.019541
1.06132,50,0.019615
1.0802,50,0.020076
1.09129,50,0.020292
1.09313,50,0.020326
1.09869,50,0.020427
